river_nr	x	y	river
1	558189	192954	rhine
1	558186	192962	rhine
1	558185	192967	rhine
1	558186	192976	rhine
1	558184	192981	rhine
1	558186	192985	rhine
1	558193	192998	rhine
1	558200	193003	rhine
1	558219	193029	rhine
1	558229	193044	rhine
1	558240	193049	rhine
1	558263	193054	rhine
1	558269	193053	rhine
1	558272	193055	rhine
1	558276	193056	rhine
1	558280	193060	rhine
1	558295	193069	rhine
1	558299	193073	rhine
1	558300	193081	rhine
1	558301	193087	rhine
1	558308	193134	rhine
1	558318	193157	rhine
1	558330	193175	rhine
1	558336	193193	rhine
1	558337	193197	rhine
1	558361	193236	rhine
1	558383	193251	rhine
1	558393	193248	rhine
1	558392	193232	rhine
1	558395	193222	rhine
1	558392	193190	rhine
1	558394	193188	rhine
1	558413	193194	rhine
1	558422	193204	rhine
1	558447	193230	rhine
1	558456	193234	rhine
1	558460	193235	rhine
1	558479	193237	rhine
1	558551	193289	rhine
1	558600	193324	rhine
1	558632	193347	rhine
1	558679	193389	rhine
1	558696	193412	rhine
1	558728	193475	rhine
1	558773	193510	rhine
1	558808	193537	rhine
1	558859	193611	rhine
1	558882	193653	rhine
1	558889	193677	rhine
1	558893	193689	rhine
1	558899	193734	rhine
1	558896	193780	rhine
1	558896	193857	rhine
1	558940	193948	rhine
1	558931	193968	rhine
1	558922	193987	rhine
1	558908	194000	rhine
1	558918	194005	rhine
1	558941	194005	rhine
1	558930	194024	rhine
1	558926	194032	rhine
1	558919	194039	rhine
1	558914	194040	rhine
1	558909	194044	rhine
1	558907	194049	rhine
1	558909	194056	rhine
1	558909	194061	rhine
1	558886	194102	rhine
1	558841	194183	rhine
1	558800	194251	rhine
1	558775	194293	rhine
1	558750	194338	rhine
1	558718	194392	rhine
1	558710	194408	rhine
1	558701	194409	rhine
1	558695	194412	rhine
1	558691	194419	rhine
1	558689	194425	rhine
